code,name,categories,price,market_cap_yi,ttm_revenue_yi,ttm_net_yi,ttm_deduct_yi,pe_ttm_net,pe_ttm_deduct,q1_revenue_yi,q1_net_yi,q1_deduct_yi,q1_rev_yoy,q1_net_yoy,q1_deduct_yoy,q1_gross_margin,q1_net_margin,q1_roe,rev_positive_quarters,deduct_positive_quarters,s5_operating_score,pe_to_growth,basic_gate
688200,华峰测控,存储芯片封装设备材料,372.91,747.96,14.2056633815,5.6837218619000005,5.1361591274,131.5968687725275,145.62632921745717,2.7180757237,0.9420734456000001,0.7242149308,37.5183467314,52.116039848,42.4439490727,75.303114639271,34.443746590164,2.2789460811,4,4,77.5,3.43,True
300442,润泽科技,供电液冷数据中心,64.36,1056.17,63.1525053251,52.019971078199994,20.5445098592,20.303163921646412,51.40886822018966,18.3957785419,5.8222978078,5.8215489733000005,53.5531800545,35.3483439884,35.9157973227,46.798813845749,31.840116902141,4.1673018049,4,2,76.6,1.43,False
001389,广合科技,PCB_CCL_连接,176.07,832.3,62.823594663,11.679705365700002,11.4605007421,71.26035922483372,72.62335378964349,19.1397277301,3.9255347097000004,3.9076148437000002,71.3517482485,63.3108327851,67.8823438461,36.932769862673,20.50987749176,7.0181627092,4,4,76.2,1.07,True
688615,合合信息,AI软件工业智能,95.7,187.57,19.18369685,4.9324702278,4.2873569293000005,38.027599019824336,43.74956484684952,5.0372538248000005,1.5524816762,1.3151519367,27.5266277496,33.669022897,25.3977850518,87.582761247398,30.707007865767,5.1626763933,4,3,74.5,1.72,True
688183,生益电子,PCB_CCL_连接,113.49,950.58,103.2488411032,17.176842077699998,17.106992053899997,55.340789401219425,55.566752881216765,24.105683794,4.4471818546,4.4112446368,52.6209292216,122.155999892,122.8276675357,35.205505590397,18.448685764753,7.4894011912,4,4,74.4,0.56,True
002463,沪电股份,PCB_CCL_连接,127.8,2459.34,211.21749664,43.01922239,41.78016074,57.16839736674748,58.8638233180718,62.14156406,12.42081367,11.62681935,53.9061409765,62.9033090551,56.0157344561,35.632417923406,19.97760699749,7.7867155335,4,4,74.3,1.05,True
603893,瑞芯微,存储芯片封装设备材料,202.0,854.35,47.225818999,11.5966733648,11.2087151625,73.6719896408615,76.22193869805191,12.054536473499999,3.2919465846,3.1990058429,36.2152026238,57.1489056353,53.8367040783,43.042024544918,27.308777835107,7.2332370719,4,4,74.2,1.42,True
688012,中微公司,存储芯片封装设备材料,350.69,3359.06,131.2634640122,27.2887785188,17.2905314555,123.09308742734123,194.27164564866547,29.1498651873,9.304873191699999,4.7755874617,34.1285376976,197.2019978207,60.0923774229,39.892564840287,31.507518069763,3.9591911874,4,4,73.8,3.23,True
688008,澜起科技,存储芯片封装设备材料,183.6,2240.91,56.9482562613,25.576192145,21.2286153879,87.61703021683331,105.56081774778801,14.6071831643,8.4737529229,6.0383535311,19.514563386,61.3046403399,20.1417211272,69.788220952239,56.802557405308,5.0185959632,4,4,73.0,5.24,True
688019,安集科技,存储芯片封装设备材料,239.06,543.84,26.828626768499998,8.2249049129,7.3156198616,66.12112915093249,74.3395652437655,7.2392840113,2.076680288,1.9673388772,32.7617986592,23.0072276213,21.6468951709,55.464164707899,28.686859195721,5.1152447025,4,4,72.3,3.43,True
688629,华丰科技,PCB_CCL_连接,141.66,663.33,27.5542696048,4.3187315882,4.0496401332,153.59370835001783,163.79973977486264,6.33223075,1.0511263587000002,0.9749896098999999,56.1486203819,230.4282832016,322.9497458619,30.341092824199,16.3645454787,5.6078510356,4,4,70.1,1.64,True
300620,光库科技,光互联,238.9,595.29,16.3521024624,2.1056453067,1.7033884446,282.71143202790773,349.47401568160194,4.2646540222,0.44736399479999994,0.3580656083,60.7961025465,312.5155141461,561.0453930745,36.633060167776,9.914766335063,2.0450688382,4,4,69.4,3.49,True
600183,生益科技,PCB_CCL_连接,132.29,3213.33,309.6122342137,39.2844643942,36.981835859600004,81.79645693411616,86.88941274303616,81.41455910399999,11.5813932456,10.8282171586,45.0885351399,105.4723584166,93.5148821052,28.101320429648,16.364488003038,6.6845429125,4,4,68.5,0.93,True
688188,柏楚电子,AI软件工业智能,90.3,366.22,22.4786616094,11.7353823457,10.7704210613,31.20648217603135,34.002384671467695,5.4807557922,3.1644907819999997,2.9107532972000003,10.5343791644,23.8749692917,20.8897982575,74.514578741351,58.287624547082,5.0791940845,4,4,68.1,1.63,True
300476,胜宏科技,PCB_CCL_连接,241.5,2373.43,204.9945766202,46.797684813900005,46.3713875049,50.716825189929814,51.1830705895786,55.1948506685,12.8842759246,12.572239431400002,27.9927826495,39.9479988532,36.070116173,34.4584933385,23.343257149082,7.5741333268,4,4,67.5,1.42,True
688017,绿的谐波,机器人具身,326.1,597.84,6.1282193999,1.3675262886,1.0630761815,437.1689268306765,562.367975507125,1.401344563,0.3263414752,0.23426565789999998,42.9556261555,61.1687618543,41.5724026746,33.618009884126,23.540998838556,0.9185397908,4,4,64.6,13.53,True
688686,奥普特,AI软件工业智能,123.5,150.96,13.5874797173,1.921984201,1.5637268267000002,78.54382981996218,96.53860087479433,3.5743577604000003,0.6387673008,0.5684084757,33.5070571864,10.4032495028,4.3151357842,57.727101264455,18.671984265093,2.0634848091,4,3,64.5,22.37,False
002916,深南电路,PCB_CCL_连接,334.0,2275.1,254.5966844511,36.3452076579,34.7777464291,62.596973483118454,65.41826983062734,65.9558790238,8.5023079658,8.4944671547,37.8994473036,73.0051768665,75.0355372397,29.169011205594,12.906989779377,4.8253908448,4,4,64.3,0.87,True
603039,泛微网络,AI软件工业智能,29.02,89.28,22.910748676599997,3.2470693291000003,2.941017393,27.49556321445899,30.35684189168615,3.3275861926,0.6213076258,0.49863193450000004,1.2867201084,137.9065330435,109.454347498,93.716912635803,18.671420959183,2.449182356,2,3,63.8,0.3,False
688018,乐鑫科技,存储芯片封装设备材料,103.88,243.48,26.553969944400002,5.397779441799999,4.905605055,45.10743772050209,49.63302126245057,6.4797143184,1.3564215634999999,1.2458771754,16.1551642483,44.7554460769,39.881520923,48.508669880313,20.995590880246,3.0296775561,4,4,63.3,1.24,True
688120,华海清科,存储芯片封装设备材料,241.67,1195.62,49.3714618977,10.9761225427,9.7748863961,108.92917743481125,122.31548803237553,12.0141679491,2.4730487048,2.2483644806,31.6623552991,5.9496646514,5.9722886102,42.309240723414,20.584435936617,3.2584401602,4,4,63.1,20.48,True
300738,奥飞数据,供电液冷数据中心,20.38,200.78,26.8830561567,1.7332009917,1.8682744512,115.84346014195742,107.46815055520254,7.029110000399999,0.9272739431,0.958042725,31.1483258335,79.1917760748,75.4226088531,34.512978874451,13.684473916972,2.4101741518,3,4,62.9,1.42,True
